source,target,edge_type,is_fraud_edge,timestamp
user_0,driver_1530,completed_ride,False,2025-10-22 09:46:01.481164
user_0,driver_1307,completed_ride,False,2025-10-26 11:55:01.699723
user_0,driver_717,completed_ride,False,2025-10-23 07:36:01.831489
user_0,driver_1484,completed_ride,False,2025-10-26 01:15:01.835383
user_1,driver_639,completed_ride,False,2025-10-26 23:09:01.616835
user_1,driver_665,completed_ride,False,2025-10-25 02:49:01.641508
user_1,driver_1364,completed_ride,False,2025-10-24 21:10:01.723136
user_1,driver_1775,completed_ride,False,2025-10-25 21:56:01.827879
user_2,driver_1575,completed_ride,False,2025-10-21 06:39:01.603121
user_2,driver_377,completed_ride,False,2025-10-21 15:36:01.709638
user_2,driver_898,completed_ride,False,2025-10-21 08:34:01.716777
user_3,driver_393,completed_ride,False,2025-10-21 22:06:01.540925
user_3,driver_569,completed_ride,False,2025-10-26 05:09:01.545926
user_3,driver_286,completed_ride,False,2025-10-24 20:21:01.556670
user_3,driver_1028,completed_ride,False,2025-10-21 20:04:01.597341
user_3,driver_679,completed_ride,False,2025-10-24 11:44:01.675826
user_3,driver_1011,completed_ride,False,2025-10-24 22:44:01.726148
user_4,driver_947,completed_ride,False,2025-10-24 04:27:01.808353
user_4,driver_1880,completed_ride,False,2025-10-22 12:49:01.810322
user_5,driver_796,completed_ride,False,2025-10-21 05:17:01.499684
user_5,driver_1754,completed_ride,False,2025-10-26 03:33:01.670094
user_5,driver_625,completed_ride,False,2025-10-24 15:11:01.692647
user_5,driver_1730,completed_ride,False,2025-10-22 09:25:01.735028
user_5,driver_884,completed_ride,False,2025-10-22 01:40:01.736030
user_5,driver_1868,completed_ride,False,2025-10-21 17:17:01.806326
user_6,driver_479,completed_ride,False,2025-10-22 17:49:01.586402
user_6,driver_591,completed_ride,False,2025-10-23 02:38:01.657486
user_6,driver_1901,completed_ride,False,2025-10-25 23:50:01.675826
user_6,driver_1785,completed_ride,False,2025-10-24 14:08:01.732945
user_6,driver_1706,completed_ride,False,2025-10-25 23:23:01.799600
user_7,driver_58,completed_ride,False,2025-10-20 13:06:01.505723
user_7,driver_1516,completed_ride,False,2025-10-24 01:46:01.517990
user_7,driver_245,completed_ride,False,2025-10-23 08:28:01.517990
user_7,driver_732,completed_ride,False,2025-10-22 23:08:01.542926
user_7,driver_980,completed_ride,False,2025-10-27 08:50:01.558650
user_7,driver_1127,completed_ride,False,2025-10-21 14:33:01.634941
user_7,driver_670,completed_ride,False,2025-10-25 01:18:01.662999
user_7,driver_1613,completed_ride,False,2025-10-24 21:13:01.751753
user_7,driver_591,completed_ride,False,2025-10-24 23:56:01.779376
user_8,driver_1730,completed_ride,False,2025-10-25 12:10:01.550015
user_8,driver_709,completed_ride,False,2025-10-24 05:30:01.693651
user_8,driver_886,completed_ride,False,2025-10-22 22:53:01.739623
user_8,driver_1015,completed_ride,False,2025-10-23 13:29:01.791664
user_9,driver_419,completed_ride,False,2025-10-24 00:33:01.604433
user_9,driver_161,completed_ride,False,2025-10-24 15:03:01.652487
user_9,driver_400,completed_ride,False,2025-10-25 01:11:01.707643
user_9,driver_328,completed_ride,False,2025-10-22 01:33:01.829871
user_10,driver_231,completed_ride,False,2025-10-27 03:34:01.475181
user_10,driver_680,completed_ride,False,2025-10-25 10:23:01.502442
user_10,driver_1271,completed_ride,False,2025-10-22 15:57:01.516065
user_10,driver_1617,completed_ride,False,2025-10-27 09:18:01.538297
user_10,driver_722,completed_ride,False,2025-10-25 20:14:01.666080
user_11,driver_1436,completed_ride,False,2025-10-23 09:57:01.732945
user_12,driver_695,completed_ride,False,2025-10-25 03:47:01.490632
user_12,driver_1507,completed_ride,False,2025-10-26 02:13:01.571872
user_12,driver_1730,completed_ride,False,2025-10-23 14:31:01.633921
user_12,driver_603,completed_ride,False,2025-10-25 21:54:01.816758
user_12,driver_504,completed_ride,False,2025-10-26 11:52:01.841393
user_13,driver_1955,completed_ride,False,2025-10-25 11:05:01.487632
user_13,driver_1228,completed_ride,False,2025-10-22 02:51:01.739623
user_13,driver_1652,completed_ride,False,2025-10-26 08:10:01.817758
user_13,driver_1468,completed_ride,False,2025-10-26 20:19:01.829871
user_14,driver_693,completed_ride,False,2025-10-27 04:38:01.545926
user_14,driver_1173,completed_ride,False,2025-10-20 12:33:01.558650
user_14,driver_1964,completed_ride,False,2025-10-26 12:25:01.604433
user_14,driver_1506,completed_ride,False,2025-10-23 05:11:01.656488
user_14,driver_1473,completed_ride,False,2025-10-21 05:56:01.691161
user_14,driver_1022,completed_ride,False,2025-10-21 07:45:01.716777
user_14,driver_142,completed_ride,False,2025-10-22 07:27:01.774781
user_15,driver_189,completed_ride,False,2025-10-22 17:22:01.505723
user_15,driver_391,completed_ride,False,2025-10-25 18:15:01.683657
user_15,driver_1783,completed_ride,False,2025-10-21 10:22:01.737533
user_16,driver_569,completed_ride,False,2025-10-22 05:27:01.496592
user_16,driver_618,completed_ride,False,2025-10-23 04:33:01.553969
user_17,driver_1525,completed_ride,False,2025-10-24 01:52:01.564180
user_17,driver_1284,completed_ride,False,2025-10-23 23:31:01.572975
user_17,driver_445,completed_ride,False,2025-10-26 21:00:01.686660
user_17,driver_1565,completed_ride,False,2025-10-27 00:19:01.785981
user_18,driver_985,completed_ride,False,2025-10-26 22:42:01.546966
user_18,driver_497,completed_ride,False,2025-10-22 00:14:01.574309
user_18,driver_1101,completed_ride,False,2025-10-24 17:41:01.588409
user_18,driver_1436,completed_ride,False,2025-10-25 03:19:01.644889
user_18,driver_161,completed_ride,False,2025-10-22 05:14:01.672825
user_18,driver_1865,completed_ride,False,2025-10-21 02:29:01.724142
user_19,driver_1748,completed_ride,False,2025-10-25 16:00:01.642887
user_19,driver_1616,completed_ride,False,2025-10-22 00:16:01.800602
user_20,driver_843,completed_ride,False,2025-10-25 13:08:01.550015
user_20,driver_1178,completed_ride,False,2025-10-20 15:01:01.688657
user_20,driver_636,completed_ride,False,2025-10-25 09:09:01.709638
user_21,driver_204,completed_ride,False,2025-10-22 01:38:01.535304
user_21,driver_859,completed_ride,False,2025-10-25 23:12:01.545926
user_21,driver_575,completed_ride,False,2025-10-21 14:48:01.571265
user_21,driver_1474,completed_ride,False,2025-10-26 12:10:01.692647
user_21,driver_1143,completed_ride,False,2025-10-23 13:45:01.779376
user_21,driver_1883,completed_ride,False,2025-10-21 20:12:01.787057
user_21,driver_1152,completed_ride,False,2025-10-26 04:39:01.822867
user_22,driver_1585,completed_ride,False,2025-10-26 14:48:01.555562
user_22,driver_1608,completed_ride,False,2025-10-26 10:16:01.606458
user_22,driver_1345,completed_ride,False,2025-10-21 06:38:01.609443
user_22,driver_1086,completed_ride,False,2025-10-26 18:56:01.816758
user_23,driver_493,completed_ride,False,2025-10-22 14:23:01.502634
user_23,driver_1564,completed_ride,False,2025-10-22 16:11:01.652487
user_23,driver_1418,completed_ride,False,2025-10-26 08:54:01.675826
user_23,driver_191,completed_ride,False,2025-10-25 03:57:01.706642
user_24,driver_152,completed_ride,False,2025-10-27 04:50:01.475181
user_24,driver_1895,completed_ride,False,2025-10-25 07:25:01.566272
user_24,driver_641,completed_ride,False,2025-10-21 05:36:01.636937
user_24,driver_246,completed_ride,False,2025-10-24 06:06:01.821260
user_25,driver_1268,completed_ride,False,2025-10-22 03:23:01.530088
user_25,driver_1339,completed_ride,False,2025-10-23 09:45:01.584893
user_25,driver_1617,completed_ride,False,2025-10-25 19:37:01.589408
user_25,driver_427,completed_ride,False,2025-10-21 06:22:01.605459
user_25,driver_1642,completed_ride,False,2025-10-22 04:43:01.821972
user_25,driver_1587,completed_ride,False,2025-10-25 12:11:01.824869
user_26,driver_1982,completed_ride,False,2025-10-24 02:30:01.521759
user_26,driver_566,completed_ride,False,2025-10-26 05:26:01.601864
user_26,driver_1165,completed_ride,False,2025-10-26 14:04:01.615909
user_26,driver_1653,completed_ride,False,2025-10-21 11:15:01.622486
user_26,driver_526,completed_ride,False,2025-10-23 18:50:01.673912
user_26,driver_30,completed_ride,False,2025-10-23 02:35:01.818758
user_27,driver_162,completed_ride,False,2025-10-24 05:15:01.542601
user_27,driver_1709,completed_ride,False,2025-10-23 08:54:01.568270
