node_id,node_type,is_collusion_suspect
user_0,user,False
user_1,user,False
user_2,user,False
user_3,user,False
user_4,user,False
user_5,user,False
user_6,user,False
user_7,user,False
user_8,user,False
user_9,user,False
user_10,user,False
user_11,user,False
user_12,user,False
user_13,user,False
user_14,user,False
user_15,user,False
user_16,user,False
user_17,user,False
user_18,user,False
user_19,user,False
user_20,user,False
user_21,user,False
user_22,user,False
user_23,user,False
user_24,user,False
user_25,user,False
user_26,user,False
user_27,user,False
user_28,user,False
user_29,user,False
user_30,user,False
user_31,user,False
user_32,user,False
user_33,user,False
user_34,user,False
user_35,user,False
user_36,user,False
user_37,user,False
user_38,user,False
user_39,user,False
user_40,user,False
user_41,user,False
user_42,user,False
user_43,user,False
user_44,user,False
user_45,user,False
user_46,user,False
user_47,user,False
user_48,user,False
user_49,user,False
user_50,user,False
user_51,user,False
user_52,user,False
user_53,user,False
user_54,user,False
user_55,user,False
user_56,user,False
user_57,user,False
user_58,user,False
user_59,user,False
user_60,user,False
user_61,user,False
user_62,user,False
user_63,user,False
user_64,user,False
user_65,user,False
user_66,user,False
user_67,user,False
user_68,user,False
user_69,user,False
user_70,user,False
user_71,user,False
user_72,user,False
user_73,user,False
user_74,user,False
user_75,user,False
user_76,user,False
user_77,user,False
user_78,user,False
user_79,user,False
user_80,user,False
user_81,user,False
user_82,user,False
user_83,user,False
user_84,user,False
user_85,user,False
user_86,user,False
user_87,user,False
user_88,user,False
user_89,user,True
user_90,user,False
user_91,user,False
user_92,user,False
user_93,user,False
user_94,user,False
user_95,user,False
user_96,user,False
user_97,user,False
user_98,user,False
user_99,user,False
user_100,user,False
user_101,user,False
user_102,user,False
user_103,user,False
user_104,user,False
user_105,user,True
user_106,user,False
user_107,user,False
user_108,user,False
user_109,user,False
user_110,user,False
user_111,user,False
user_112,user,False
user_113,user,False
user_114,user,False
user_115,user,False
user_116,user,False
user_117,user,False
user_118,user,False
user_119,user,False
user_120,user,False
user_121,user,False
user_122,user,False
user_123,user,False
user_124,user,False
user_125,user,False
user_126,user,False
user_127,user,False
user_128,user,False
user_129,user,False
user_130,user,False
user_131,user,False
user_132,user,False
user_133,user,False
user_134,user,False
user_135,user,False
user_136,user,False
user_137,user,False
user_138,user,False
user_139,user,False
user_140,user,False
user_141,user,False
user_142,user,False
user_143,user,False
user_144,user,False
user_145,user,False
user_146,user,False
user_147,user,False
user_148,user,False
user_149,user,False
user_150,user,False
user_151,user,False
user_152,user,False
user_153,user,False
user_154,user,False
user_155,user,False
user_156,user,False
user_157,user,False
user_158,user,False
user_159,user,False
user_160,user,False
user_161,user,False
user_162,user,False
user_163,user,False
user_164,user,False
user_165,user,False
user_166,user,False
user_167,user,False
user_168,user,False
user_169,user,False
user_170,user,False
user_171,user,False
user_172,user,False
user_173,user,False
user_174,user,False
user_175,user,False
user_176,user,False
user_177,user,False
user_178,user,False
user_179,user,False
user_180,user,False
user_181,user,False
user_182,user,False
user_183,user,False
user_184,user,False
user_185,user,False
user_186,user,False
user_187,user,False
user_188,user,False
user_189,user,False
user_190,user,False
user_191,user,False
user_192,user,False
user_193,user,False
user_194,user,False
user_195,user,False
user_196,user,False
user_197,user,False
user_198,user,False
user_199,user,False
user_200,user,False
user_201,user,False
user_202,user,False
user_203,user,False
user_204,user,False
user_205,user,False
user_206,user,False
user_207,user,False
user_208,user,False
user_209,user,False
user_210,user,False
user_211,user,False
user_212,user,False
user_213,user,False
user_214,user,False
user_215,user,False
user_216,user,False
user_217,user,False
user_218,user,False
user_219,user,False
user_220,user,False
user_221,user,False
user_222,user,False
user_223,user,False
user_224,user,False
user_225,user,False
user_226,user,False
user_227,user,False
user_228,user,False
user_229,user,False
user_230,user,False
user_231,user,False
user_232,user,False
user_233,user,False
user_234,user,False
user_235,user,False
user_236,user,False
user_237,user,False
user_238,user,False
user_239,user,False
user_240,user,False
user_241,user,False
user_242,user,False
user_243,user,False
user_244,user,False
user_245,user,False
user_246,user,False
user_247,user,False
user_248,user,False
user_249,user,False
user_250,user,False
user_251,user,False
user_252,user,False
user_253,user,False
user_254,user,False
user_255,user,False
user_256,user,False
user_257,user,False
user_258,user,False
user_259,user,False
user_260,user,False
user_261,user,False
user_262,user,False
user_263,user,False
user_264,user,False
user_265,user,False
user_266,user,False
user_267,user,False
user_268,user,False
user_269,user,False
user_270,user,False
user_271,user,False
user_272,user,False
user_273,user,False
user_274,user,False
